date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:38	207/207	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Aug%202025%2019:02:38%20GMT	https://gmx-nchcdd.vercel.app/robots.txt		(from )
20:02:40	4699/4699	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2019:02:40%20GMT	https://gmx-nchcdd.vercel.app/	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/index.html	(from )
20:02:41	207/207	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Aug%202025%2019:02:41%20GMT	https://gmx-nchcdd.vercel.app/image/logo.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/image/logo.0.delayed	(from https://gmx-nchcdd.vercel.app/)
20:02:42	5233/5233	---MCZ	200	added ('OK')	text/css	etag:W/%22834951a26cc3cbe4eb72e5321b6b9467%22	https://gmx-nchcdd.vercel.app/static/styles/style.css	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/styles/style.css	(from https://gmx-nchcdd.vercel.app/)
20:02:43	9385/9385	---M--	200	added ('OK')	image/png	etag:%22939a55080b15e7ec293aa969409c2235%22	https://gmx-nchcdd.vercel.app/static/image/frontlogo.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/frontlogo.png	(from https://gmx-nchcdd.vercel.app/)
20:02:44	69222/69222	---M--	200	added ('OK')	image/jpeg	etag:%22c7052504bf4f2128b8372fc14021d09c%22	https://gmx-nchcdd.vercel.app/static/image/tyu.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/tyu.jpg	(from https://gmx-nchcdd.vercel.app/)
20:02:44	2480/2480	---M--	200	added ('OK')	image/jpeg	etag:%22e27942207589f2b89842468b7726aaf7%22	https://gmx-nchcdd.vercel.app/static/image/logo45.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/logo45.jpg	(from https://gmx-nchcdd.vercel.app/)
20:02:46	75993/75993	---M--	200	added ('OK')	image/jpeg	etag:%2295f6c6b149a0c22a8d42c108bde8714e%22	https://gmx-nchcdd.vercel.app/static/image/try.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/try.jpg	(from https://gmx-nchcdd.vercel.app/)
20:02:47	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Aug%202025%2019:02:47%20GMT	https://gmx-nchcdd.vercel.app/static/image/now.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/now.6.delayed	(from https://gmx-nchcdd.vercel.app/)
20:02:49	116622/116622	---M--	200	added ('OK')	image/jpeg	etag:%22ff4a8a0ff69e74863341ca12628b2683%22	https://gmx-nchcdd.vercel.app/static/image/11.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/11.jpg	(from https://gmx-nchcdd.vercel.app/)
20:02:51	60745/60745	---M--	200	added ('OK')	image/jpeg	etag:%2292714b5f480243766e282532a11b5f4d%22	https://gmx-nchcdd.vercel.app/static/image/22.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/22.jpg	(from https://gmx-nchcdd.vercel.app/)
20:02:52	138226/138226	---M--	200	added ('OK')	image/jpeg	etag:%22f4a2fa232c05b6fe294620b56927d924%22	https://gmx-nchcdd.vercel.app/static/image/33.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/33.jpg	(from https://gmx-nchcdd.vercel.app/)
20:02:53	69830/69830	---M--	200	added ('OK')	image/jpeg	etag:%2275f61f18febca440f4b4092788b96c3b%22	https://gmx-nchcdd.vercel.app/static/image/44.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/44.jpg	(from https://gmx-nchcdd.vercel.app/)
20:02:55	952970/952970	---M--	200	added ('OK')	image/png	etag:%22c78ad3352d66d0cba973cbe8a761a570%22	https://gmx-nchcdd.vercel.app/static/image/photo60.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo60.png	(from https://gmx-nchcdd.vercel.app/)
20:02:57	845466/845466	---M--	200	added ('OK')	image/png	etag:%220523ad699c6f1ab24c50f9ee197fffd6%22	https://gmx-nchcdd.vercel.app/static/image/photo44.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo44.png	(from https://gmx-nchcdd.vercel.app/)
20:02:57	264515/264515	---M--	200	added ('OK')	image/png	etag:%22df9e6098248039136253212d0b407ab6%22	https://gmx-nchcdd.vercel.app/static/image/photo61.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo61.png	(from https://gmx-nchcdd.vercel.app/)
20:02:59	674742/674742	---M--	200	added ('OK')	image/png	etag:%22c9e924168f050d1d3704b311c469a14b%22	https://gmx-nchcdd.vercel.app/static/image/photo62.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo62.png	(from https://gmx-nchcdd.vercel.app/)
20:02:59	155679/155679	---M--	200	added ('OK')	image/png	etag:%22a8cd131be96d102afeded009e2b40a1f%22	https://gmx-nchcdd.vercel.app/static/image/photo38.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo38.png	(from https://gmx-nchcdd.vercel.app/)
